Opened,Date,Product,Christmas,Chinese NY,Weeknum
15/02/2022 12:43:32,15/02/2022,SP4,NO,NO,8
09/09/2021 22:32:13,09/09/2021,SP4,NO,NO,37
15/03/2022 18:09:11,15/03/2022,SP4,NO,NO,12
30/12/2021 02:46:58,30/12/2021,SP4,YES,NO,53
24/11/2021 07:11:13,24/11/2021,SP4,NO,NO,48
14/02/2022 20:30:28,14/02/2022,SP4,NO,NO,8
19/01/2022 22:40:30,19/01/2022,SP4,NO,NO,4
17/01/2022 10:15:49,17/01/2022,SP4,NO,NO,4
19/04/2022 11:13:07,19/04/2022,SP4,NO,NO,17
19/11/2021 22:23:41,19/11/2021,SP4,NO,NO,47
30/03/2022 16:37:29,30/03/2022,SP4,NO,NO,14
03/03/2022 20:58:05,03/03/2022,SP4,NO,NO,10
04/04/2022 09:21:02,04/04/2022,SP4,NO,NO,15
01/11/2021 09:48:40,01/11/2021,SP4,NO,NO,45
04/11/2021 08:45:42,04/11/2021,SP4,NO,NO,45
18/11/2021 23:34:15,18/11/2021,SP4,NO,NO,47
11/01/2022 08:41:03,11/01/2022,SP4,NO,NO,3
19/01/2022 12:17:18,19/01/2022,SP4,NO,NO,4
28/01/2022 15:39:08,28/01/2022,SP4,NO,NO,5
09/02/2022 22:36:54,09/02/2022,SP4,NO,NO,7
17/03/2022 17:11:15,17/03/2022,SP4,NO,NO,12
08/04/2022 09:38:45,08/04/2022,SP4,NO,NO,15
10/05/2022 16:05:53,10/05/2022,SP4,NO,NO,20
31/01/2022 13:00:35,31/01/2022,SP4,NO,YES,6
18/11/2021 14:47:09,18/11/2021,SP4,NO,NO,47
23/09/2021 08:21:18,23/09/2021,SP4,NO,NO,39
28/01/2022 20:50:25,28/01/2022,SP4,NO,NO,5
16/03/2022 10:21:38,16/03/2022,SP4,NO,NO,12
03/05/2022 03:57:07,03/05/2022,SP4,NO,NO,19
04/05/2022 04:10:51,04/05/2022,SP4,NO,NO,19
08/12/2021 03:57:10,08/12/2021,SP4,NO,NO,50
09/09/2021 22:24:36,09/09/2021,SP4,NO,NO,37
18/03/2022 14:12:35,18/03/2022,SP4,NO,NO,12
29/03/2022 15:31:33,29/03/2022,SP4,NO,NO,14
01/03/2022 09:53:28,01/03/2022,SP4,NO,NO,10
09/09/2021 22:27:41,09/09/2021,SP4,NO,NO,37
22/02/2022 08:05:36,22/02/2022,SP4,NO,NO,9
09/09/2021 22:30:16,09/09/2021,SP4,NO,NO,37
19/04/2022 08:52:18,19/04/2022,SP4,NO,NO,17
10/02/2022 11:07:39,10/02/2022,SP4,NO,NO,7
30/11/2021 03:39:52,30/11/2021,SP4,NO,NO,49
01/10/2021 06:44:58,01/10/2021,SP4,NO,NO,40
03/02/2022 11:44:49,03/02/2022,SP4,NO,YES,6
03/12/2021 06:32:11,03/12/2021,SP4,NO,NO,49
15/03/2022 12:01:35,15/03/2022,SP4,NO,NO,12
25/11/2021 15:17:52,25/11/2021,SP4,NO,NO,48
05/01/2022 05:50:26,05/01/2022,SP4,YES,NO,2
04/01/2022 16:50:56,04/01/2022,SP4,YES,NO,2
14/03/2022 13:31:17,14/03/2022,SP4,NO,NO,12
16/05/2022 11:40:12,16/05/2022,SP4,NO,NO,21
04/01/2022 07:30:39,04/01/2022,SP4,YES,NO,2
11/01/2022 10:50:25,11/01/2022,SP4,NO,NO,3
17/02/2022 14:04:04,17/02/2022,SP4,NO,NO,8
25/02/2022 03:50:26,25/02/2022,SP4,NO,NO,9
13/05/2022 15:51:29,13/05/2022,SP4,NO,NO,20
28/05/2022 03:37:39,28/05/2022,SP4,NO,NO,22
08/06/2022 05:06:48,08/06/2022,SP4,NO,NO,24
08/12/2021 14:48:10,08/12/2021,SP4,NO,NO,50
